oid,town_na,road_na,site,x,y,CDate,lon,lat
209,新莊區,思源路,人行道,296380.593126,2771278.689209,2013-09-03 16:06:32.65,121.4596659,25.04895492
210,新莊區,思源路,人行道,296380.869037,2771284.629096,2013-09-03 16:06:32.65,121.4596688,25.04900853
211,新莊區,思源路,人行道,296380.728383,2771292.078396,2013-09-03 16:06:32.65,121.4596677,25.04907579
212,新莊區,思源路,人行道,296381.159644,2771295.902165,2013-09-03 16:06:32.65,121.4596721,25.0491103
213,新莊區,思源路,人行道,296380.906525,2771300.703618,2013-09-03 16:06:32.65,121.4596697,25.04915365
214,板橋區,文化路,人行道,297041.355864,2768053.481999,2013-09-03 16:06:32.65,121.4661043,25.01981721
215,新莊區,思源路,人行道,296380.690894,2771306.367594,2013-09-03 16:06:32.65,121.4596678,25.04920479
216,新莊區,思源路,人行道,296380.472565,2771312.344969,2013-09-03 16:06:32.65,121.4596658,25.04925877
217,新莊區,思源路,人行道,296380.808757,2771318.796491,2013-09-03 16:06:32.65,121.4596694,25.049317
218,新莊區,思源路,中央分隔島,296395.471634,2771208.17802,2013-09-03 16:06:32.65,121.459811,25.04831788
219,新莊區,思源路,中央分隔島,296392.550575,2771200.714024,2013-09-03 16:06:32.65,121.4597818,25.04825059
220,新莊區,思源路,中央分隔島,296394.591717,2771196.761598,2013-09-03 16:06:32.65,121.4598019,25.04821484
221,新莊區,思源路,中央分隔島,296392.179594,2771192.995411,2013-09-03 16:06:32.65,121.4597778,25.04818091
222,新莊區,思源路,中央分隔島,296395.043072,2771186.238587,2013-09-03 16:06:32.65,121.459806,25.04811983
223,新莊區,思源路,中央分隔島,296392.705925,2771183.881346,2013-09-03 16:06:32.65,121.4597827,25.04809862
224,新莊區,思源路,中央分隔島,296395.552008,2771181.544199,2013-09-03 16:06:32.65,121.4598109,25.04807743
225,板橋區,中山路,中央分隔島,298507.477002,2768030.446426,2013-09-03 16:06:32.65,121.48063,25.01956299
226,板橋區,文化路,人行道,297056.921827,2768072.12272,2013-09-03 16:06:32.65,121.4662592,25.01998501
227,新莊區,思源路,中央分隔島,296395.503724,2771175.025798,2013-09-03 16:06:32.65,121.4598102,25.04801858
228,新莊區,思源路,中央分隔島,296392.932351,2771172.061853,2013-09-03 16:06:32.65,121.4597846,25.0479919
229,新莊區,思源路,中央分隔島,296395.914891,2771170.018012,2013-09-03 16:06:32.65,121.4598141,25.04797336
230,新莊區,思源路,中央分隔島,296392.949746,2771165.797771,2013-09-03 16:06:32.65,121.4597846,25.04793535
231,新莊區,思源路,中央分隔島,296393.86715,2771305.251953,2013-09-03 16:06:32.65,121.4597983,25.04919432
232,新莊區,思源路,中央分隔島,296392.743413,2771295.781604,2013-09-03 16:06:32.65,121.4597869,25.04910885
233,新莊區,思源路,中央分隔島,296392.979137,2771290.54619,2013-09-03 16:06:32.65,121.459789,25.04906158
234,新莊區,思源路,中央分隔島,296393.668914,2771273.295746,2013-09-03 16:06:32.65,121.4597953,25.04890582
235,新莊區,思源路,中央分隔島,296391.550097,2771269.414396,2013-09-03 16:06:32.65,121.4597742,25.04887085
236,新莊區,思源路,中央分隔島,296391.512609,2771263.612465,2013-09-03 16:06:32.65,121.4597736,25.04881847
237,板橋區,文化路,人行道,297060.188758,2768075.966167,2013-09-03 16:06:32.65,121.4662917,25.02001961
238,新莊區,思源路,中央分隔島,296393.729195,2771265.9871,2013-09-03 16:06:32.65,121.4597957,25.04883984
239,新莊區,思源路,中央分隔島,296394.315806,2771251.459479,2013-09-03 16:06:32.65,121.459801,25.04870866
240,新莊區,思源路,中央分隔島,296392.392526,2771248.530323,2013-09-03 16:06:32.65,121.4597818,25.04868228
241,新莊區,思源路,中央分隔島,296394.629205,2771235.753239,2013-09-03 16:06:32.65,121.4598036,25.04856686
242,新莊區,思源路,中央分隔島,296394.353294,2771245.957452,2013-09-03 16:06:32.65,121.4598012,25.04865899
243,新莊區,思源路,中央分隔島,296394.905116,2771219.224662,2013-09-03 16:06:32.65,121.4598057,25.04841763
244,新莊區,思源路,人行道,296380.808757,2771198.730463,2013-09-03 16:06:32.65,121.4596653,25.04823304
